"prabhag_number","prabhag_name","prabhag_name_mr","corporator_a_name","corporator_a_political_party","corporator_b_name","corporator_b_political_party","corporator_c_name","corporator_c_political_party","corporator_d_name","corporator_d_political_party"
1,"Kalas-Dhanori","कळस - धानोरी","Kiran Jathar","BJP","Maruti Sangade","BJP","Rekha Tingare","NCP","Anil Tingare","BJP"
2,"Phule Nagar- Nagpur Chawl","फुलेनगर- नागपूरचाळ","Siddharth Dhende","BJP","Farzana Sheikh","BJP","Shital Sawant","BJP","Sunil Tingare","NCP"
3,"Viman Nagar- Somnath Nagar","विमाननगर - सोमनाथ नगर","Rahul Bhandare","BJP","Shweta Galande-Khose","BJP","Mukta Jagtap","BJP","Bapurao Karne (Guruji)","BJP"
4,"Kharadi-Chandan Nagar","खराडी - चंदननगर","Bhaiyya Saheb Jadhav","NCP","Suman Pathare","NCP","Sanjila Pathare","NCP","Mahendra Pathare","NCP"
5,"Vadgaon Sheri- Kalyani Nagar","वडगांवशेरी - कल्याणीनगर","Sunita Galande","BJP","Shital Shinde","BJP","Yogesh Mulik","BJP","Sandip Jarhad","BJP"
6,"Yerwada","येरवडा","Avinash Salve","SS","Shweta Chavan","SS","Ashwini Landage","MIM","Sanjay Bhosale","SS"
7,"Pune University- Wakadewadi","पुणे विापीठ - वाकडेवाडी","Sonali Landage","BJP","Rajashri Kale","BJP","Aditya Malve","BJP","Reshma Bhosale","Independent"
8,"Aundh- Bopodi","औंध - बोपोडी","Sunita Wadekar","BJP","Archana Musale","BJP","Vijay Shewale","BJP","Prakash Dhore","BJP"
9,"Baner- Balewadi- Pashan","बाणेर - बालेवाडी - पाषाण","Swapnali Saykar","BJP","Jyoti Kalamkar","BJP","Amol Balwadkar","BJP","Baburao Chandere","NCP"
10,"Bavdhan- Kothrud Depot","बावधन - कोथरुड डेपो","Kiran Dagade Patil","BJP","Shraddha Prabhune","BJP","Alpana Varpe","BJP","Dilip Vede Patil","BJP"
11,"Rambaug Colony- Shivtirth Nagar","रामबाग कॉलनी-शिवतीर्थ नगर","Deepak Mankar","NCP","Chhaya Marane","BJP","Vaishali Marathe","INC","Ranchandra Kadam","INC"
12,"Mayur Colony- Dahanukar Colony","मयुर कॉलनी-डहाणूकर कॉलनी","Harshali Mathvad","BJP","Vasanti Jadhav","BJP","Murlidhar Mohol","BJP","Pruthviraj Sutar","SS"
13,"Erandwana- Happy Colony","एरंडवणा - हॅपी कॉलनी","Dipak Pote","BJP","Madhuri Sahastrabuddhe","BJP","Manjushri Khardekar","BJP","Jayant Bhave","BJP"
14,"Deccan Gymkhana- Model Colony","डेक्कन जिमखाना-मॉडेल कॉलनी","Swati Lokhande","BJP","Nilima Khade","BJP","Jyotsna Ekbote","BJP","Siddharth Shirole","BJP"
15,"Shanivar Peth- Sadashiv Peth","शनिवार पेठ - सदाशिव पेठ","Hemant Rasane","BJP","Gayatri Khadke","BJP","Mukta Tilak","BJP","Rajesh Yenpure","BJP"
16,"Kasba Peth- Somwar Peth","कसबा पेठ - सोमवार पेठ","Pallavi Jawale","SS","Ravindra Dhangekar","Independent","Sujata Shetti","INC","Yogesh Samel","BJP"
17,"Rasta Peth- Ravivar Peth","रास्ता पेठ - रविवार पेठ","Laxmi Andekar","NCP","Sulochana Kondhare","BJP","Vanraj Andekar","NCP","Vishal Dhanawade","SS"
18,"Kahdakmal Aali- Mahatma Phule Peth","खडकमाळ आळी-म. फुले पेठ","Vijayalaxmi Harihar","BJP","Arti Kondhare","BJP","Ajay Khedekar","BJP","Samrat Thorat","BJP"
19,"Lohiya Nagar- Kasewadi","लोहियानगर - कासेवाडी","Avinash Bagave","INC","Manisha Ladkat","BJP","Archana Patil","BJP","Rafique Sheikh","INC"
20,"Tadiwala Road- Sasoon Hospital","ताडीवाला रोड-ससून हॉस्पिट","Pradip Gaikwad","NCP","Chandbi Nadaf","INC","Latabai Rajguru","INC","Arvind Shinde","INC"
21,"Koregaon Park- Ghorpadi","कोरेगांव पार्क - घोरपडी","Navnath Kamble","BJP","Lata Dhayarkar","BJP","Mangala Mantri","BJP","Umesh Gaikwad","BJP"
22,"Mundhwa- Magarpatta City","मुंढवा - मगरपट्टा सिटी","Chetan Tupe","NCP","Hemlata Magar","NCP","Chanchala Kodre","NCP","Sunil Gaikwad","NCP"
23,"Hadapsar Gaothan- Satavwadi","हडपसर गांवठाण - सातववाडी","Yogesh Sasane","NCP","Vrushali Bankar","NCP","Ujwala Jangale","BJP","Maruti Tupe","BJP"
24,"Ramtekadi- Sayyad Nagar","रामटेकडी - सय्यदनगर","Ashok Kamble","Independent","Ruksana Inamdar","Independent","Anand Alkunte","NCP","N/A","N/A"
25,"Vanwadi","वानवडी","Dhanraj Ghogare","BJP","Kalinda Punde","BJP","Ratnaprabha Jagtap","NCP","Prashant Jagtap","NCP"
26,"Mahammadwadi- Kausar Baug","महंम्मदवाडी - कौसर बाग","Prachi Alhat","SS","Pramod Bhangire","SS","Nanda Lonkar","NCP","Sanjay Ghule","BJP"
27,"Kondhwa Khurd- Meetha Nagar","कोंढवा खुर्द - मीठा नगर","Haji Pathan","NCP","Parvin Firoz","NCP","Hamida Sundake","NCP","Sainath Babar","MNS"
28,"Salisbury Park- Maharshi Nagar","सॅलीसबरी पार्क - महर्षी नगर","Kavita Vairage","BJP","Shrinath Bhimale","BJP","Rajshri Shilimkar","BJP","Pravin Chorbele","BJP"
29,"Navi Peth- Parvati","नवी पेठ - पर्वती","Sarasvati Shendage","BJP","Mahesh Ladkat","BJP","Smita Vaste","BJP","Dhiraj Ghate","BJP"
30,"Janata Vasahat- Dattawadi","जनता वसाहत - दत्तवाडी","Anand Rithe","BJP","Priya Gadade","NCP","Anita Kadam","BJP","Shankar Pawar","BJP"
31,"Karve Nagar","कर्वेनगर","Sushil Mengade","BJP","Laxmi Dudhane","NCP","Vrushali Chauthari","BJP","Rajesh Barate","BJP"
32,"Warje-Malwadi","वारजे माळवाडी","Dilip Barate","NCP","Sayali Wanjale","NCP","Dipali Dhumal","NCP","Sachin Dodke","NCP"
33,"Vadgaon Dhayari- Vadgaon Budruk","वडगांव धायरी - सनसिटी","Haridas Charvad","BJP","Rajashri Navale","BJP","Neeta Dangat","BJP","Raju Laygude","BJP"
34,"Suncity- Hingane Khurd","वडगांव बुद्रुक - हिंगणे खुर्द","Prasanna Jagtap","BJP","Jyoti Gosavi","BJP","Manjusha Nagpure","BJP","Shrikant Jagtap","BJP"
35,"Sahakar Nagar- Padmavati","सहकारनगर - पद्‌मावती","Disha Mane","BJP","Ulhas Bagul","INC","Ashwini Kadam","NCP","Mahesh Wabale","BJP"
36,"Market Yard- Lower Indira Nagar","मार्केट यार्ड - लोअर इंदिरा नगर","Ansuya Chavan","BJP","Rajendra Shilimkar","BJP","Mansi Deshpande","BJP","Sunil Kamble","BJP"
