Sr. No.,code,ward,work,Total (in Rs. Lakhs),department,Revenue / capital
1,RE20A302/C2-297,1,स.न. 67 भैरवनगर रोड 15 मधील अंतर्गत गल्या सिमेंट कॉंक्रीट करणे,5,पथ,revenue
2,CE20A1196/C2-127,1,मुंजबा वस्ती येथिल अॅटरिया सोसायटी समोर रस्त्याच्या बाजुस फुटपाथ विकसित करणे,5,पथ,capital
3,CE20A1196/C2-128,1,स.न. 30/7 मुंजबा वस्ती हरेकृष्ण पार्क येथील रस्ता ते खाताडे यांच्या घरापर्यंतचा रस्ता विकसीत करणे,5,पथ,capital
4,CE20A1196/C2-129,1,प्रभाग क्र. 1 स.नं. 29 मुंजाबा वस्ती दाजी निकम ते ठाकुर निवास रस्ता डांबरीकरण करणे,5,पथ,capital
5,CE20A1196/C2-130,1,स. 51 भैरवगन येथे पदपथ करणे,5,पथ,capital
6,CE20A1196/C2-131,1,धानोरी स.नं. 52 गगनगिरी कार्यालय शेजारीचा रस्ता करणे,5,पथ,capital
7,CE20A1196/C2-132,1,हिमगिरीशाळे समोरील रस्त्याच्या फुटपाथ विकसित करणे,5,पथ,capital
8,ZE16B130/C7-68,1,स..न. 167 संत नगर लोहगाव र्इ स्ट्रिट शुभम मंगल कार्यालय समोरील रस्त्यांवर ड्रेनेज लार्इन टाकणे व विविध विकास कामे करणे,5,मलनिःसारण,capital
9,CE20C406/C1-118,1,मुंजबा वस्ती धानोरी अॅटरिया सोसा समोर पथदिप बसविणे,2.5,विद्युत,capital
10,CE20C406/C1-119,1,धानोरी स.नं. 25 मध्ये गाल्ली बोला मध्ये विद्युत पोल लावुन प्रकाश व्यवस्था करणे,2.5,विद्युत,capital
11,CE20C406/C1-120,1,स.न. 30/1 मुंजबा वस्ती हरेकृष्ण पार्क धानोरी रस्ते ते खताडे यांचे घरापर्यंत विद्युत पोल लावुन प्रकाश व्यवस्था करणे,2,विद्युत,capital
12,CE20C406/C1-121,1,भारत गॅस गोडावुन भरत टाक्या जवळ विद्युत पोल लावुन प्रकाश व्यवस्था करणे.,2,विद्युत,capital
13,CE20C406/C1-122,1,रिंगवस्ती मेडोज ते ग्लोबल मेडोज पर्यंत विद्युत पोल लावुन प्रकाश व्यवस्था करणे.,2,विद्युत,capital
14,CE20C406/C1-123,1,सिध्दार्थ नगर येथे पथदिप बसविणे स.न. 17 धानोरी,5,विद्युत,capital
15,RE20A302/C2-275,2,प्रभाग क्र.२ मध्ये प्रभाग क्र.२ मध्ये परिसरातील राडारोडा उचलण्याबाबत,5,पथ,revenue
16,RE20A302/C2-276,2,प्रभाग क्र.२ मध्ये थिटेवस्ती पार्क खराडकर पार्क रोडवरील राडारोडा उचलणेबाबत,5,पथ,revenue
