code,parentcode,name-mr,name-en,count
ADM,ROOT,Admin wards,Admin wards,1
ADM01,ADM,औंध क्षेत्रीय कार्यालय,Aundh admin ward office,1
ADM02,ADM,कोथरूड क्षेत्रीय कार्यालय,Kothrud admin ward office,1
ADM03,ADM,घोले रोड क्षेत्रीय कार्यालय,Ghole road admin ward office,1
ADM04,ADM,वारजे कर्वेनगर क्षेत्रीय कार्यालय,Warje Karvenagar admin ward office,1
ADM05,ADM,ढोलेपाटील रोड क्षेत्रीय कार्यालय,Dhole Patil road admin ward office,1
ADM06,ADM,नगररोड क्षेत्रीय कार्यालय,Nagar road admin ward office,1
ADM07,ADM,संगमवाडी क्षेत्रीय कार्यालय,Sangamwadi admin ward office,1
ADM08,ADM,भवानी पेठ क्षेत्रीय कार्यालय,Bhavani peth admin ward office,1
ADM09,ADM,कसबा विश्रामबाग वाडा क्षेत्रीय कार्यालय,Kasba Vishrambaugwada admin ward office,1
ADM10,ADM,टिळक रोड क्षेत्रीय कार्यालय,Tilak road admin ward office,1
ADM11,ADM,सहकारनगर क्षेत्रीय कार्यालय,Sahakarnagar admin ward office,1
ADM12,ADM,हडपसर क्षेत्रीय कार्यालय,Hadapsar admin ward office,1
ADM13,ADM,बिबवेवाडी क्षेत्रीय कार्यालय,Bibwevadi admin ward office,1
ADM14,ADM,धनकवडी क्षेत्रीय कार्यालय,Dhankawdi admin ward office,1
ADM15,ADM,कोंढवा वानवडी क्षेत्रीय कार्यालय,Kondhwa Wanawdi admin ward office,1
