code,parentcode,name-mr,name-en,count
CE,ROOT,भांडवली खर्चाबाबतचे अंदाजपत्रक,"Capital Expenditure (Part A, General Budget)",1
CE11A,CE,मनपा भवन व मनपा इमारती,PMC buildings,1
CE11A122,CE11A,,,1
CE11A129#,CE11A,,,1
CE12A,CE,प्राथमिक शिक्षण,Primary education,1
CE12A264,CE12A,,,1
CE12A381#,CE12A,,,1
CE12A400,CE12A,,,1
CE12A411,CE12A,,,1
CE12A412,CE12A,,,1
CE12A413,CE12A,,,1
CE12A414,CE12A,,,1
CE12A415,CE12A,,,1
CE12A417,CE12A,,,1
CE12A419,CE12A,,,1
CE12A420,CE12A,,,1
CE12A421,CE12A,,,1
CE12A422#,CE12A,,,1
CE12A423#,CE12A,,,1
CE12A424#,CE12A,,,1
CEMSC001,CE12A,,,1
CEMSC002,CE12A,,,1
CE13A,CE,दुय्यम शिक्षण,Secondary education,1
CE13A128#,CE13A,,,1
CE13A215,CE13A,,,1
CE17A,CE,आरोग्य विभाग,Health,1
CE17A209,CE17A,,,1
CE17A192#,CE17A,,,1
CE17A205,CE17A,,,1
CE17A206,CE17A,,,1
CE17A217,CE17A,,,1
CE17A218,CE17A,,,1
CE17A227#,CE17A,,,1
CE17A230,CE17A,,,1
CE17A232,CE17A,,,1
CE17A233,CE17A,,,1
CE17A234,CE17A,,,1
CE17A235,CE17A,,,1
CE17A236,CE17A,,,1
CE17A237,CE17A,,,1
CE17A238,CE17A,,,1
CE17A239,CE17A,,,1
CE17A240,CE17A,,,1
CE17A241,CE17A,,,1
CE17A242#,CE17A,,,1
CE17A243#,CE17A,,,1
CE17A244#,CE17A,,,1
CE17A246#,CE17A,,,1
CEMSC003,CE17A,,,1
CEMSC004,CE17A,,,1
CE19A,CE,पथांची झाडलोट / घनकचरा व्यवस्थापन विभाग,"SWM, cleaning",1
CE19A111,CE19A,,,1
CE19A112,CE19A,,,1
CE19A116,CE19A,,,1
CE19A117,CE19A,,,1
CE19A120,CE19A,,,1
CE19A121,CE19A,,,1
CE19A122,CE19A,,,1
CE19A123,CE19A,,,1
CE19A139,CE19A,,,1
CE19A140,CE19A,,,1
CE19A141,CE19A,,,1
CE19A142,CE19A,,,1
CE19A143,CE19A,,,1
CE19A144,CE19A,,,1
CE19A152,CE19A,,,1
CE19A152A,CE19A,,,1
CE19A152B,CE19A,,,1
CE19A153,CE19A,,,1
CE19A154#,CE19A,,,1
CE19A155,CE19A,,,1
CE19A156,CE19A,,,1
CE19A157,CE19A,,,1
CE19A158,CE19A,,,1
CE19A159,CE19A,,,1
CE19A160,CE19A,,,1
CE19A162,CE19A,,,1
CE19A163,CE19A,,,1
CE19A165,CE19A,,,1
CE19A168,CE19A,,,1
CE19A169,CE19A,,,1
CE19A170,CE19A,,,1
CE19A171,CE19A,,,1
CE19A172,CE19A,,,1
CE19A173,CE19A,,,1
CE19A174,CE19A,,,1
CE19A175,CE19A,,,1
CE19A176,CE19A,,,1
CE20A,CE,पथ सुधारणा,10 A Road Development,1
CE20A102#,CE20A,,,1
CE20A103#,CE20A,,,1
CE20A819#,CE20A,,,1
CE20A883#,CE20A,,,1
CE20A884#,CE20A,,,1
CE20A1195#,CE20A,,,1
CE20A1242,CE20A,,,1
CE20A1243,CE20A,,,1
CE20A1249#,CE20A,,,1
CE20A1250#,CE20A,,,1
CE20A1252,CE20A,,,1
CE20A1258#,CE20A,,,1
CE20A1259#,CE20A,,,1
CE20A1260,CE20A,,,1
CE20A1261,CE20A,,,1
CE20A1262#,CE20A,,,1
CE20A1263#,CE20A,,,1
CE20A1264#,CE20A,,,1
CEMSC005,CE20A,,,1
CEMSC006,CE20A,,,1
CE20A1265,CE20A,,,1
CE20B,CE,१०ख. वाहतूक नियंत्रण,10 B Traffic control dept,1
CE20B101#,CE20B,,,1
CE20B102#,CE20B,,,1
CE20B104#,CE20B,,,1
CE20B107#,CE20B,,,1
CE20B108#,CE20B,,,1
CE20B213#,CE20B,,,1
CE20B251,CE20B,,,1
CE20B262,CE20B,,,1
CE20B263,CE20B,,,1
CE20B274,CE20B,,,1
CE20B275,CE20B,,,1
CEMSC007,CE20B,,,1
CEMSC008,CE20B,,,1
CE20C,CE,१०ग. विद्युत विभाग,10 C Electricity dept,1
CE20C106_0,CE20C,,,1
CE20C108,CE20C,,,1
CE20C335,CE20C,,,1
CE20C352#,CE20C,,,1
CE20C411,CE20C,,,1
CE20C423,CE20C,,,1
CE20C436,CE20C,,,1
CE20C437,CE20C,,,1
CE20C465,CE20C,,,1
CE20C466_0,CE20C,,,1
CE20C472,CE20C,,,1
CE20C482,CE20C,,,1
CE20C484,CE20C,,,1
CE20C509,CE20C,,,1
CE20C510,CE20C,,,1
CE20C517,CE20C,,,1
CE20C531,CE20C,,,1
CE20C532,CE20C,,,1
CE20C533_0,CE20C,,,1
CE20C534,CE20C,,,1
CE20C536_0,CE20C,,,1
CE20C537,CE20C,,,1
CE20C538,CE20C,,,1
CE20C539,CE20C,,,1
CE20C540,CE20C,,,1
CE20C541,CE20C,,,1
