code,parentcode,name-mr,name-en,count
FE,ROOT,,,1
FE11A,FE,भूमी संपादन निधीतून करावयाचा खर्च,Land Acquisition fund,1
FE11A101,FE11A,,,1
FE11A102,FE11A,,,1
FE11A102A,FE11A,,,1
FE11A103,FE11A,,,1
FE11A104,FE11A,,,1
FE11A105,FE11A,,,1
FE11A106,FE11A,,,1
FE11A107,FE11A,,,1
FE11A108,FE11A,,,1
FE11A109,FE11A,,,1
FE11A110,FE11A,,,1
FE11A111,FE11A,,,1
FE14A,FE,४. झोपडपट्टी निर्मूलन व पुनर्वसन निधीतून करावयाची कामे,Slum Removal and Rehabilitation fund,1
FE14A101#,FE14A,,,1
FE14A101/SG1-301,FE14A101#,,,1
FE14A101/SG1-302,FE14A101#,,,1
FE14A101/SG1-303,FE14A101#,,,1
FE14A101/SG1-304,FE14A101#,,,1
FE14A101/SG1-305,FE14A101#,,,1
FE14A101/SG1-306,FE14A101#,,,1
FE14A101/SG1-307,FE14A101#,,,1
FE14A101/SG1-308,FE14A101#,,,1
FE14A101/SG1-309,FE14A101#,,,1
FE14A101/SG1-310,FE14A101#,,,1
FE14A101/SG1-311,FE14A101#,,,1
FE14A101/SG1-312,FE14A101#,,,1
FE14A101/SG1-313,FE14A101#,,,1
FE14A101/SG1-314,FE14A101#,,,1
FE14A101/SG1-315,FE14A101#,,,1
FE14A101/SG1-316,FE14A101#,,,1
FE14A101/SG1-317,FE14A101#,,,1
FE14A101/SG1-318,FE14A101#,,,1
FE14A101/SG1-319,FE14A101#,,,1
FE14A101/SG1-320,FE14A101#,,,1
FE14A101/SG1-321,FE14A101#,,,1
FE14A101/SG1-322,FE14A101#,,,1
FE14A101/SG1-323,FE14A101#,,,1
FE14A101/SG1-324,FE14A101#,,,1
FE14A101/SG1-325,FE14A101#,,,1
FE14A101/SG1-326,FE14A101#,,,1
FE14A104,FE14A,,,1
FE14A105#,FE14A,,,1
FE14A105/SG2-101,FE14A105#,,,1
FE14A105/SG2-102,FE14A105#,,,1
FE14A105/SG2-103,FE14A105#,,,1
FE14A105/SG2-104,FE14A105#,,,1
FE14A105/SG2-105,FE14A105#,,,1
FE14A105/SG2-106,FE14A105#,,,1
FE14A105/SG2-107,FE14A105#,,,1
FE14A105/SG2-108,FE14A105#,,,1
FE14A105/SG2-109,FE14A105#,,,1
FE14A105/SG2-110,FE14A105#,,,1
FE14A105/SG2-111,FE14A105#,,,1
FE14A105/SG2-112,FE14A105#,,,1
FE14A105/SG2-113,FE14A105#,,,1
FE14A105/SG2-114,FE14A105#,,,1
FE14A105/SG2-115,FE14A105#,,,1
FE14A105/SG2-116,FE14A105#,,,1
FE14A105/SG2-117,FE14A105#,,,1
FE14A105/SG2-118,FE14A105#,,,1
FE14A105/SG2-119,FE14A105#,,,1
FE14A105/SG2-120,FE14A105#,,,1
FE14A105/SG2-121,FE14A105#,,,1
FE14A105/SG2-122,FE14A105#,,,1
FE14A105/SG2-123,FE14A105#,,,1
FE14A105/SG2-124,FE14A105#,,,1
