code,parentcode,name-mr,name-en,count
PB,ROOT,Participatory Budget,Participatory Budget,1
RE20A302/C2-,PB,Roads-Revenue,Roads-Revenue,1
RE20C302/C1-,PB,Electrical-Revenue,Electrical-Revenue,1
RE22C302/C4-,PB,Building-Revenue,Building-Revenue,1
RE14B302/C5-,PB,SRA-Revenue,SRA-Revenue,1
XE12B302/C6-,PB,Water Supply-Revenue,Water Supply-Revenue,1
XE23A302/C7-,PB,Drainage-Revenue,Drainage-Revenue,1
CE20A1196/C2-,PB,Roads-Capital,Roads-Capital,1
CE20C406/C1-,PB,Electrical-Capital,Electrical-Capital,1
CE22A547/C4-,PB,Building-Capital,Building-Capital,1
FE14A121/C5-,PB,SRA-Capital,SRA-Capital,1
ZE16A117/C6-,PB,Water Supply-Capital,Water Supply-Capital,1
ZE16B130/C7-,PB,Drainage-Capital,Drainage-Capital,1
RE20C302/C1-151,RE20C302/C1-,,,1
RE20A302/C2-201,RE20A302/C2-,,,1
RE20C302/C1-152,RE20C302/C1-,,,1
RE14B302/C5-101,RE14B302/C5-,,,1
RE22C302/C4-101,RE22C302/C4-,,,1
XE23A302/C7-151,XE23A302/C7-,,,1
XE23A302/C7-152,XE23A302/C7-,,,1
XE23A302/C7-153,XE23A302/C7-,,,1
XE23A302/C7-154,XE23A302/C7-,,,1
RE14B302/C5-102,RE14B302/C5-,,,1
RE14B302/C5-103,RE14B302/C5-,,,1
XE23A302/C7-155,XE23A302/C7-,,,1
XE23A302/C7-156,XE23A302/C7-,,,1
XE23A302/C7-157,XE23A302/C7-,,,1
XE23A302/C7-158,XE23A302/C7-,,,1
XE23A302/C7-159,XE23A302/C7-,,,1
RE20A302/C2-202,RE20A302/C2-,,,1
XE12B302/C6-51,XE12B302/C6-,,,1
XE12B302/C6-52,XE12B302/C6-,,,1
RE20A302/C2-203,RE20A302/C2-,,,1
RE20A302/C2-204,RE20A302/C2-,,,1
XE12B302/C6-53,XE12B302/C6-,,,1
XE23A302/C7-160,XE23A302/C7-,,,1
RE20A302/C2-205,RE20A302/C2-,,,1
RE20A302/C2-206,RE20A302/C2-,,,1
RE20C302/C1-153,RE20C302/C1-,,,1
RE22C302/C4-102,RE22C302/C4-,,,1
RE22C302/C4-103,RE22C302/C4-,,,1
RE20A302/C2-207,RE20A302/C2-,,,1
RE20A302/C2-208,RE20A302/C2-,,,1
RE20A302/C2-209,RE20A302/C2-,,,1
RE22C302/C4-104,RE22C302/C4-,,,1
RE14B302/C5-104,RE14B302/C5-,,,1
RE20A302/C2-210,RE20A302/C2-,,,1
RE22C302/C4-105,RE22C302/C4-,,,1
RE20A302/C2-211,RE20A302/C2-,,,1
RE20A302/C2-212,RE20A302/C2-,,,1
RE20A302/C2-213,RE20A302/C2-,,,1
RE20A302/C2-214,RE20A302/C2-,,,1
RE20A302/C2-215,RE20A302/C2-,,,1
RE20A302/C2-216,RE20A302/C2-,,,1
RE22C302/C4-106,RE22C302/C4-,,,1
RE20C302/C1-154,RE20C302/C1-,,,1
RE20C302/C1-155,RE20C302/C1-,,,1
RE22C302/C4-107,RE22C302/C4-,,,1
RE22C302/C4-108,RE22C302/C4-,,,1
RE22C302/C4-109,RE22C302/C4-,,,1
RE14B302/C5-105,RE14B302/C5-,,,1
RE14B302/C5-106,RE14B302/C5-,,,1
XE12B302/C6-54,XE12B302/C6-,,,1
RE20C302/C1-156,RE20C302/C1-,,,1
RE22C302/C4-110,RE22C302/C4-,,,1
RE22C302/C4-111,RE22C302/C4-,,,1
RE22C302/C4-112,RE22C302/C4-,,,1
RE20A302/C2-217,RE20A302/C2-,,,1
RE20A302/C2-218,RE20A302/C2-,,,1
RE14B302/C5-107,RE14B302/C5-,,,1
XE23A302/C7-161,XE23A302/C7-,,,1
RE22C302/C4-113,RE22C302/C4-,,,1
RE14B302/C5-108,RE14B302/C5-,,,1
RE14B302/C5-109,RE14B302/C5-,,,1
XE23A302/C7-162,XE23A302/C7-,,,1
RE20A302/C2-219,RE20A302/C2-,,,1
RE20A302/C2-220,RE20A302/C2-,,,1
RE14B302/C5-110,RE14B302/C5-,,,1
RE22C302/C4-114,RE22C302/C4-,,,1
RE20C302/C1-157,RE20C302/C1-,,,1
RE20C302/C1-158,RE20C302/C1-,,,1
RE20C302/C1-159,RE20C302/C1-,,,1
RE22C302/C4-115,RE22C302/C4-,,,1
RE22C302/C4-116,RE22C302/C4-,,,1
RE20A302/C2-221,RE20A302/C2-,,,1
