code,parentcode,name-mr,name-en,count
RE,ROOT,,"Revenue Expenditure (Part A, General Budget)",1
RE11,RE,"1. मुख्य देखरेख, वसुली वगैरे","Main supervision, recovery etc.",1
RE11A,RE11,क. महानगरपालिका व स्थायी समिती,Municipality and standing committeee,1
RE11A101A,RE11A,,,1
RE11A102A,RE11A,,,1
RE11A103,RE11A,,,1
RE11A103A,RE11A,,,1
RE11A104,RE11A,,,1
RE11A105,RE11A,,,1
RE11A106,RE11A,,,1
RE11A110,RE11A,,,1
RE11A111,RE11A,,,1
RE11A113,RE11A,,,1
RE11A114,RE11A,,,1
RE11A115,RE11A,,,1
RE11A116,RE11A,,,1
RE11A117,RE11A,,,1
RE11A118,RE11A,,,1
RE11A119,RE11A,,,1
RE11A120,RE11A,,,1
RE11A121,RE11A,,,1
RE11A122,RE11A,,,1
RE11A123,RE11A,,,1
RE11A123B,RE11A,,,1
RE11A123C,RE11A,,,1
RE11A123A,RE11A,,,1
RE11A124A,RE11A,,,1
RE11A124D,RE11A,,,1
RE11A124G,RE11A,,,1
RE11A124H,RE11A,,,1
RE11A125,RE11A,,,1
RE11A126,RE11A,,,1
RE11A127,RE11A,,,1
RE11A128,RE11A,,,1
RE11A139,RE11A,,,1
RE11A142,RE11A,,,1
RE11A143,RE11A,,,1
RE11A169,RE11A,,,1
RE11A255,RE11A,,,1
RE11A265,RE11A,,,1
RE11A268,RE11A,,,1
RE11A269,RE11A,,,1
RE11A273,RE11A,,,1
RE11A274#,RE11A,,,1
RE11A275#,RE11A,,,1
RE11A276#,RE11A,,,1
RE11A278,RE11A,,,1
RE11A279,RE11A,,,1
RE11B,RE11,ख. मुख्य लेखापरिक्षक यांचे कार्यालय,Office of the municipal chief auditor,1
RE11B101A,RE11B,,,1
RE11B102A,RE11B,,,1
RE11B103,RE11B,,,1
RE11C,RE11,,,1
RE11C-1,RE11C,ग-1. महापालिका आयुक्त यांचे कार्यालय,C1 Office of Municipal commissioner,1
RE11C101A,RE11C-1,,,1
RE11C102A,RE11C-1,,,1
RE11C103A,RE11C-1,,,1
RE11C104,RE11C-1,,,1
RE11C106,RE11C-1,,,1
RE11C-2,RE11C,ग-2. अतिरिक्त महापालिका आयुक्त (विशेष) यांचे कार्यालय,C2 Aditional PMC Commissioner (special) Office,1
RE11C126A,RE11C-2,,,1
RE11C127A,RE11C-2,,,1
RE11C128,RE11C-2,,,1
RE11C129,RE11C-2,,,1
RE11C129C,RE11C-2,,,1
RE11C-3,RE11C,ग-3. अतिरिक्त महापालिका आयुक्त (जनरल) यांचे कार्यालय,C3 Aditional PMC Commissioner (general) Office,1
RE11C131A,RE11C-3,,,1
RE11C132A,RE11C-3,,,1
RE11C133,RE11C-3,,,1
RE11C134,RE11C-3,,,1
RE11C135,RE11C-3,,,1
RE11C-4,RE11C,ग4. अतिरिक्त महापालिका आयुक्त (इस्टेट) यांचे कार्यालय,C4 Aditional PMC Commissioner (estate) Office,1
RE11C141,RE11C-4,,,1
RE11C142,RE11C-4,,,1
RE11C143,RE11C-4,,,1
RE11C144,RE11C-4,,,1
RE11C-5,RE11C,ग५. दक्षता विभाग,C5 Security department,1
RE11C151,RE11C-5,,,1
RE11C152,RE11C-5,,,1
RE11D,RE11,घ. महापालिका उपआयुक्त (विशेष) यांचे कार्यालय,D1 Office of Deputy commissioner (Special),1
RE11D-1,RE11D,घ१. उपआयुक्त (विशेष) यांचे कार्यालय,D1 Office of Deputy commissioner (Special),1
RE11D101A,RE11D-1,,,1
RE11D102A,RE11D-1,,,1
RE11D103,RE11D-1,,,1
