code,parentcode,name-mr,name-en,count
XE,ROOT,,Water Budget (Part C) - Revenue Expenditure,1
XE12,XE,१. पाणीपुरवठा,Water Supply,1
XE12A,XE12,क. पाणीपुरवठा,Water Supply,1
XE12A101A,XE12A,,,1
XE12A101B,XE12A,,,1
XE12A###A,XE12A,,,1
XE12A103,XE12A,,,1
XE12A104,XE12A,,,1
XE12A105,XE12A,,,1
XE12A106,XE12A,,,1
XE12A107,XE12A,,,1
XE12A109,XE12A,,,1
XE12A112,XE12A,,,1
XE12A115,XE12A,,,1
XE12A120,XE12A,,,1
XE12A123,XE12A,,,1
XE12A126,XE12A,,,1
XE12A127,XE12A,,,1
XE12A128,XE12A,,,1
XE12A129,XE12A,,,1
XE12A130,XE12A,,,1
XE12A131,XE12A,,,1
XE12A132,XE12A,,,1
XE12A133,XE12A,,,1
XE12A134,XE12A,,,1
XE12A135,XE12A,,,1
XE12A136,XE12A,,,1
XE12A137,XE12A,,,1
XE12A138,XE12A,,,1
XE12A139,XE12A,,,1
XE12A141,XE12A,,,1
XE12A143,XE12A,,,1
XE12A144,XE12A,,,1
XE12A145,XE12A,,,1
XE12A146,XE12A,,,1
XE12B,XE12,ख१. नळ खाते (स्वारगेट विभाग),Accounts (Swargate division),1
XE12B101A,XE12B,,,1
XE12B102,XE12B,,,1
XE12B107,XE12B,,,1
XE12B111,XE12B,,,1
XE12B112,XE12B,,,1
XE12B113,XE12B,,,1
XE12B114,XE12B,,,1
XE12B115#,XE12B,,,1
XE12B-2,XE12,ख२. नळ खाते (विभागीय कार्यालय),Accounts (Ward offices),1
XE12B###A,XE12B-2,,,1
XE12B301/W6-#,XE12B-2,,,1
XE12B302/C6-#,XE12B-2,,,1
XE12C,XE12,ग. पाणीमापके,Meters,1
XE12C101,XE12C,,,1
XE12C103,XE12C,,,1
XE12C104,XE12C,,,1
XE12F101,XE12,,,1
XE12G101,XE12,,,1
XE12H101,XE12,,,1
XE12I101,XE12,,,1
XE12K101,XE12,,,1
XE12M101,XE12,,,1
XE12Z101,XE12,,,1
XE12N,XE12,क१. लष्कर पाणीपुरवठा,Pune cantonment water supply,1
XE12N101A,XE12N,,,1
XE12N102,XE12N,,,1
XE12N103,XE12N,,,1
XE12N104,XE12N,,,1
XE12N105,XE12N,,,1
XE12N106,XE12N,,,1
XE12N108,XE12N,,,1
XE12N109,XE12N,,,1
XE12N117,XE12N,,,1
XE12N118,XE12N,,,1
XE12N120,XE12N,,,1
XE12N121,XE12N,,,1
XE12N123,XE12N,,,1
XE12N124,XE12N,,,1
XE12N125,XE12N,,,1
XE12N126,XE12N,,,1
XE12N###A,XE12N,,,1
XE12P,XE12,ख१. खडकी व SNDT चतुःश्रृंगी पाणीपुरवठा,Khadki SNDT Chaturshringi water supply,1
XE12P101A,XE12P,,,1
XE12P102,XE12P,,,1
XE12P103,XE12P,,,1
XE12P104,XE12P,,,1
XE12P106,XE12P,,,1
XE12P110,XE12P,,,1
XE12P117,XE12P,,,1
XE12P119,XE12P,,,1
XE12P120,XE12P,,,1
XE12P121,XE12P,,,1
XE12P122,XE12P,,,1
XE12P###A,XE12P,ख२. खडकी व SNDT चतुःश्रृंगी पाणीपुरवठा (विभा. कार्या.): १. कायम सेवकवर्ग वेतन,,1
XE12P118C,XE12P,,,1
XE12P118D,XE12P,,,1
XE12P118E,XE12P,,,1
XE12P118F,XE12P,,,1
XE12P118G,XE12P,,,1
XE12L,XE12,१ब. वाघोली प्रादेशिक पाणीपुरवठा योजना,Wagholi water supply,1
XE12L101A,XE12L,,,1
XE12L102,XE12L,,,1
XE12L103,XE12L,,,1
XE12L104,XE12L,,,1
XE12L105,XE12L,,,1
XE12L107,XE12L,,,1
XE12L108,XE12L,,,1
XE12L109,XE12L,,,1
XE12L110,XE12L,,,1
XE12Q,XE12,१क१. वारजे प्रादेशिक पाणीपुरवठा योजना,Warje pradeshik water supply,1
XE12Q101A,XE12Q,,,1
XE12Q102,XE12Q,,,1
XE12Q103,XE12Q,,,1
XE12Q104,XE12Q,,,1
XE12Q105,XE12Q,,,1
XE12Q107,XE12Q,,,1
XE12Q108,XE12Q,,,1
XE12Q109,XE12Q,,,1
XE12R,XE12,१क२. वारजे मध्यवर्ती पाणीपुरवठा योजना,Warje madhyavarti water supply,1
XE12R101,XE12R,,,1
XE12R102,XE12R,,,1
XE12R103,XE12R,,,1
XE12R104,XE12R,,,1
XE12R105,XE12R,,,1
XE12R106,XE12R,,,1
XE12R107,XE12R,,,1
XE12S-A,XE12,१ड. वडगाव जलकेंद्र,Wadgaon water center,1
XE12S102,XE12S-A,,,1
XE12S103,XE12S-A,,,1
XE12S104,XE12S-A,,,1
XE12S105,XE12S-A,,,1
XE12S107,XE12S-A,,,1
XE12S108,XE12S-A,,,1
XE12S-B,XE12,१ई. नवीन होळकर जलकेंद्र,New Holkar water center,1
XE12S302,XE12S-B,,,1
XE12S303,XE12S-B,,,1
XE12S304,XE12S-B,,,1
XE12S305,XE12S-B,,,1
XE12S307,XE12S-B,,,1
XE12S308,XE12S-B,,,1
XE12S309,XE12S-B,,,1
XE12S-C,XE12,१फ. नवीन लष्कर जलकेंद्र,New Cantonment water center,1
XE12S402,XE12S-C,,,1
XE12S403,XE12S-C,,,1
XE12S404,XE12S-C,,,1
XE12S405,XE12S-C,,,1
XE12S407,XE12S-C,,,1
XE12S408,XE12S-C,,,1
XE12S409,XE12S-C,,,1
XE12S-D,XE12,,,1
XE12S502,XE12S-D,,,1
XE12S503,XE12S-D,,,1
XE12S504,XE12S-D,,,1
XE12S505,XE12S-D,,,1
XE12S-E,XE12,पाषाण पंपिंग स्टेशन,Pashan pumping station,1
XE12S602,XE12S-E,,,1
XE12S603,XE12S-E,,,1
XE12S604,XE12S-E,,,1
XE12S605,XE12S-E,,,1
XE12X101,XE12,,,1
XE23,XE,२. गटारे व नाले सुधारणा,Drainage and Sewerage,1
XE23A,XE23,क१. नगर अभियंता खात्याकडील खर्च,Town Engineer Account spending,1
XE23A101A,XE23A,,,1
XE23A102A,XE23A,,,1
XE23A103,XE23A,,,1
XE23A###B,XE23A,,,1
XE23A###C,XE23A,,,1
XE23A###D,XE23A,,,1
XE23A###E,XE23A,,,1
XE23A###F,XE23A,,,1
XE23A###G,XE23A,,,1
XE23A301/W7-#,XE23A,,,1
XE23A302/C7-#,XE23A,,,1
XE23A109,XE23A,,,1
XE23A111,XE23A,,,1
XE23A112,XE23A,,,1
XE23A113,XE23A,,,1
XE23A114,XE23A,,,1
XE23A115,XE23A,,,1
XE23A116,XE23A,,,1
XE23A117#,XE23A,,,1
XE23A###A,XE23A,,,1
XE23B,XE23,ख. भुयारी गटारांतील पाणी उपसण्याचे स्थान,Underground gutter water pumping station,1
XE23B101A,XE23B,,,1
XE23B103,XE23B,,,1
XE23B104,XE23B,,,1
XE23B105,XE23B,,,1
XE23B106,XE23B,,,1
XE23B107,XE23B,,,1
XE23B110,XE23B,,,1
XE23B112,XE23B,,,1
XE23B113,XE23B,,,1
XE23C,XE23,ग. मैलापाणी शुद्धीकरण केंद्र (डॉ. नायडू हॉस्पिटल आवार),C. Mailapani Refineries (Dr. Naidu Hospital Campus),1
XE23C101A,XE23C,,,1
XE23C102,XE23C,,,1
XE23C103,XE23C,,,1
XE23C104,XE23C,,,1
XE23C105,XE23C,,,1
XE23C106,XE23C,,,1
XE23C107,XE23C,,,1
XE23C108,XE23C,,,1
XE23C109,XE23C,,,1
XE23C110,XE23C,,,1
XE23C111,XE23C,,,1
XE23C117,XE23C,,,1
XE23D,XE23,घ. बहिरोबा पंपिंग स्टेशन,Bahiroba pumping station,1
XE23D101A,XE23D,,,1
XE23D102,XE23D,,,1
