code,parentcode,name-mr,name-en,count
ZE,ROOT,,Water Budget (Part C) - Capital Expenditure,1
ZE16A,ZE,1. पाणीपुरवठा,Water suppy,1
ZE16A104#,ZE16A,,,1
ZE16A106#,ZE16A,,,1
ZE16A107#,ZE16A,,,1
ZEMSC001,ZE16A,,,1
ZEMSC002,ZE16A,,,1
ZE16B,ZE,2. मलनिःसारण ,Sewerage,1
ZE16B102#,ZE16B,,,1
ZE16B103#,ZE16B,,,1
ZE16B104#,ZE16B,,,1
ZE16B105#,ZE16B,,,1
ZEMSC003,ZE16B,,,1
ZEMSC004,ZE16B,,,1
ZE16C,ZE,3. पाणीपुरवठा प्रकल्प,Water supply Projects,1
ZE16C101#,ZE16C,,,1
ZE16C102#,ZE16C,,,1
ZE16C103#,ZE16C,,,1
ZEMSC005,ZE16C,,,1
ZEMSC006,ZE16C,,,1
ZE16D,ZE,4. मलनिःसारण प्रकल्प,Sewerage projects,1
ZE16D101#,ZE16D,,,1
ZE16D102#,ZE16D,,,1
ZEMSC007,ZE16D,,,1
ZEMSC008,ZE16D,,,1
ZE16A115#,ZE,,,1
ZE16A117#,ZE,,,1
ZE16B113#,ZE,,,1
ZE16B130#,ZE,,,1
ZE16A104/A/S5-1866,ZE16A104#,,,1
ZE16A104/A/S5-303,ZE16A104#,,,1
ZE16A104/P2-1,ZE16A104#,,,1
ZE16A104/P2-2,ZE16A104#,,,1
ZE16A104/P2-3,ZE16A104#,,,1
ZE16A104/P2-6,ZE16A104#,,,1
ZE16A104/SP2-1,ZE16A104#,,,1
ZE16A104/SP2-115,ZE16A104#,,,1
ZE16A104/SP2-116,ZE16A104#,,,1
ZE16A104/SP2-12,ZE16A104#,,,1
ZE16A104/SP2-21,ZE16A104#,,,1
ZE16A104/SP2-231,ZE16A104#,,,1
ZE16A104/SP2-232,ZE16A104#,,,1
ZE16A104/SP2-233,ZE16A104#,,,1
ZE16A104/SP2-234,ZE16A104#,,,1
ZE16A104/SP2-240,ZE16A104#,,,1
ZE16A104/SP2-241,ZE16A104#,,,1
ZE16A104/SP2-242,ZE16A104#,,,1
ZE16A104/SP2-243,ZE16A104#,,,1
ZE16A104/SP2-277,ZE16A104#,,,1
ZE16A104/SP2-278,ZE16A104#,,,1
ZE16A104/SP2-28,ZE16A104#,,,1
ZE16A104/SP2-317,ZE16A104#,,,1
ZE16A104/SP2-321,ZE16A104#,,,1
ZE16A104/SP2-322,ZE16A104#,,,1
ZE16A104/SP2-323,ZE16A104#,,,1
ZE16A104/SP2-324,ZE16A104#,,,1
ZE16A104/SP2-325,ZE16A104#,,,1
ZE16A104/SP2-327,ZE16A104#,,,1
ZE16A104/SP2-328,ZE16A104#,,,1
ZE16A104/SP2-329,ZE16A104#,,,1
ZE16A104/SP2-330,ZE16A104#,,,1
ZE16A104/SP2-335,ZE16A104#,,,1
ZE16A104/SP2-336,ZE16A104#,,,1
ZE16A104/SP2-340,ZE16A104#,,,1
ZE16A104/SP2-341,ZE16A104#,,,1
ZE16A104/SP2-343,ZE16A104#,,,1
ZE16A104/SP2-345,ZE16A104#,,,1
ZE16A104A/P2-1199+,ZE16A104#,,,1
ZE16A104A/P2-1233+,ZE16A104#,,,1
ZE16A104A/P2-1244+,ZE16A104#,,,1
ZE16A104A/P2-1286+,ZE16A104#,,,1
ZE16A104A/P2-1355+,ZE16A104#,,,1
ZE16A104A/P2-211,ZE16A104#,,,1
ZE16A104A/P2-238+,ZE16A104#,,,1
ZE16A104A/P2-297+,ZE16A104#,,,1
ZE16A104A/P2-312+,ZE16A104#,,,1
ZE16A104A/P2-648+,ZE16A104#,,,1
ZE16A104A/P2-727+,ZE16A104#,,,1
ZE16A104A/P2-742+,ZE16A104#,,,1
ZE16A104A/S5-1175+,ZE16A104#,,,1
ZE16A104A/S5-323,ZE16A104#,,,1
ZE16A104A/S5-325,ZE16A104#,,,1
ZE16A104A/S5-327,ZE16A104#,,,1
ZE16A104A/S5-35+,ZE16A104#,,,1
ZE16C101/PR1-539+,ZE16A104#,,,1
ZE16C101/PR1-623+,ZE16A104#,,,1
ZE16C101/PR1-624+,ZE16A104#,,,1
ZE16C101/PR1-625+,ZE16A104#,,,1
